input_image,bone_mask_image,TP,TN,FP,FN,recall,precision,FPR,FNR,PWC,Jaccard,Dice
dataset\inputs\input00752.dcm,dataset\bone_masks\mask00752.dcm,4926,256678,201,339,0.9356125356125357,0.9607957870099474,0.0007824695673838655,0.06438746438746439,0.20599365234375,0.9012074643249178,0.9480369515011547
dataset\inputs\input00753.dcm,dataset\bone_masks\mask00753.dcm,5026,256554,183,381,0.9295357869428519,0.9648684968324055,0.0007127916895500064,0.07046421305714815,0.21514892578125,0.8991055456171734,0.9468726450640542
dataset\inputs\input00754.dcm,dataset\bone_masks\mask00754.dcm,5256,256356,154,378,0.9329073482428115,0.9715341959334566,0.0006003664574480527,0.0670926517571885,0.20294189453125,0.9080856945404285,0.9518290474465774
dataset\inputs\input00755.dcm,dataset\bone_masks\mask00755.dcm,5520,256003,173,448,0.9249329758713136,0.9696118039697874,0.0006753169695834114,0.07506702412868632,0.2368927001953125,0.8988764044943819,0.9467455621301775
dataset\inputs\input00756.dcm,dataset\bone_masks\mask00756.dcm,2527,259376,104,137,0.9485735735735735,0.9604713036868111,0.0004008016032064128,0.051426426426426426,0.0919342041015625,0.9129335260115609,0.9544853635505194
dataset\inputs\input00757.dcm,dataset\bone_masks\mask00757.dcm,5866,255712,183,383,0.938710193630981,0.9697470656306828,0.0007151370679380214,0.06128980636901904,0.215911865234375,0.912002487562189,0.9539762563018377
dataset\inputs\input00758.dcm,dataset\bone_masks\mask00758.dcm,5639,255833,195,477,0.9220078482668411,0.9665752485430237,0.0007616354461230803,0.07799215173315893,0.25634765625,0.8935192520995087,0.943765690376569
dataset\inputs\input00759.dcm,dataset\bone_masks\mask00759.dcm,5578,255919,210,437,0.9273482959268495,0.9637180373185902,0.0008198993475943763,0.07265170407315046,0.2468109130859375,0.8960642570281124,0.9451834279420487
dataset\inputs\input00760.dcm,dataset\bone_masks\mask00760.dcm,5341,256168,213,422,0.926774249522818,0.9616492617933021,0.0008307947936859596,0.07322575047718202,0.2422332763671875,0.8937416331994645,0.9438897234249359
dataset\inputs\input00761.dcm,dataset\bone_masks\mask00761.dcm,5672,255736,387,349,0.9420362066101976,0.936128073939594,0.0015109927651948479,0.05796379338980236,0.28076171875,0.8851435705368288,0.9390728476821192
dataset\inputs\input00762.dcm,dataset\bone_masks\mask00762.dcm,6492,255003,374,275,0.9593616078025713,0.9455286921060297,0.0014645015017014061,0.0406383921974287,0.2475738525390625,0.9091163702562665,0.9523949240812734
dataset\inputs\input00763.dcm,dataset\bone_masks\mask00763.dcm,6195,255086,300,563,0.9166913287955016,0.953810623556582,0.001174692426366363,0.08330867120449838,0.3292083740234375,0.8777274015301785,0.9348826680751527
dataset\inputs\input00764.dcm,dataset\bone_masks\mask00764.dcm,5821,255517,300,506,0.9200252884463411,0.9509884005881392,0.001172713306777892,0.07997471155365893,0.307464599609375,0.8783763392183492,0.9352506426735219
dataset\inputs\input00765.dcm,dataset\bone_masks\mask00765.dcm,5244,255956,320,624,0.8936605316973415,0.9424874191229331,0.0012486537951271286,0.10633946830265849,0.360107421875,0.8474466709760826,0.9174247725682295
